,Country,City,country_city
3378,Australia,Hughesdale,"Hughesdale, Australia"
3379,Australia,Humbert River,"Humbert River, Australia"
3380,Australia,Hume,"Hume, Australia"
3381,Australia,Humpty Doo,"Humpty Doo, Australia"
3382,Australia,Hunters Hill,"Hunters Hill, Australia"
3383,Australia,Huntingwood,"Huntingwood, Australia"
3384,Australia,Huonville,"Huonville, Australia"
3385,Australia,Hurstbridge,"Hurstbridge, Australia"
3386,Australia,Hurstville,"Hurstville, Australia"
3387,Australia,Hurstville Grove,"Hurstville Grove, Australia"
3388,Australia,Hyden,"Hyden, Australia"
3389,Australia,Ichthys,"Ichthys, Australia"
3390,Australia,Iffley,"Iffley, Australia"
3391,Australia,Illawong,"Illawong, Australia"
3392,Australia,Indulkana,"Indulkana, Australia"
3393,Australia,Ingham,"Ingham, Australia"
3394,Australia,Ingle Farm,"Ingle Farm, Australia"
3395,Australia,Ingleburn,"Ingleburn, Australia"
3396,Australia,Injune,"Injune, Australia"
3397,Australia,Inkerman,"Inkerman, Australia"
3398,Australia,Innaloo,"Innaloo, Australia"
3399,Australia,Innamincka,"Innamincka, Australia"
3400,Australia,Innisfail,"Innisfail, Australia"
3401,Australia,Inverell,"Inverell, Australia"
3402,Australia,Inverloch,"Inverloch, Australia"
3403,Australia,Invermay,"Invermay, Australia"
3404,Australia,Inverway,"Inverway, Australia"
3405,Australia,Ipswich,"Ipswich, Australia"
3406,Australia,Irymple,"Irymple, Australia"
3407,Australia,Isis Central,"Isis Central, Australia"
3408,Australia,Isisford,"Isisford, Australia"
3409,Australia,Ivanhoe,"Ivanhoe, Australia"
3410,Australia,Jabiru,"Jabiru, Australia"
3411,Australia,Jabiru Venture (oil terminal),"Jabiru Venture (oil terminal), Australia"
3412,Australia,Jackson,"Jackson, Australia"
3413,Australia,Jamboree Heights,"Jamboree Heights, Australia"
3414,Australia,Jamestown,"Jamestown, Australia"
3415,Australia,Jandakot,"Jandakot, Australia"
3416,Australia,Jannali,"Jannali, Australia"
3417,Australia,Jarrahdale,"Jarrahdale, Australia"
3418,Australia,Jerilderie,"Jerilderie, Australia"
3419,Australia,Jerrabomberra,"Jerrabomberra, Australia"
3420,Australia,Jerry Plains,"Jerry Plains, Australia"
3421,Australia,Jerrys Plains,"Jerrys Plains, Australia"
3422,Australia,Jervis Bay,"Jervis Bay, Australia"
3423,Australia,Jimboomba,"Jimboomba, Australia"
3424,Australia,Joondalup,"Joondalup, Australia"
3425,Australia,Julia Creek,"Julia Creek, Australia"
3426,Australia,Jundah,"Jundah, Australia"
3427,Australia,Junee,"Junee, Australia"
3428,Australia,Jurien Bay,"Jurien Bay, Australia"
3429,Australia,Kadina,"Kadina, Australia"
3430,Australia,Kalamunda,"Kalamunda, Australia"
3431,Australia,Kalbar,"Kalbar, Australia"
3432,Australia,Kalbarri,"Kalbarri, Australia"
3433,Australia,Kalgoorlie,"Kalgoorlie, Australia"
3434,Australia,Kalkadoon,"Kalkadoon, Australia"
3435,Australia,Kalkallo,"Kalkallo, Australia"
3436,Australia,Kalkurung,"Kalkurung, Australia"
3437,Australia,Kalorama,"Kalorama, Australia"
3438,Australia,Kalpowar,"Kalpowar, Australia"
3439,Australia,Kalumburu,"Kalumburu, Australia"
3440,Australia,Kamaran Downs,"Kamaran Downs, Australia"
3441,Australia,Kambah,"Kambah, Australia"
3442,Australia,Kambalda,"Kambalda, Australia"
3443,Australia,Kamileroi,"Kamileroi, Australia"
3444,Australia,Kangaloon,"Kangaloon, Australia"
3445,Australia,Kangarilla,"Kangarilla, Australia"
3446,Australia,Kangaroo Flat,"Kangaroo Flat, Australia"
3447,Australia,Kangaroo Ground,"Kangaroo Ground, Australia"
3448,Australia,Kangaroo Point,"Kangaroo Point, Australia"
3449,Australia,Kanimbla,"Kanimbla, Australia"
3450,Australia,Kapunda,"Kapunda, Australia"
3451,Australia,Karawatha,"Karawatha, Australia"
3452,Australia,Kardinya,"Kardinya, Australia"
3453,Australia,Kareela,"Kareela, Australia"
3454,Australia,Karragullen,"Karragullen, Australia"
3455,Australia,Karratha,"Karratha, Australia"
3456,Australia,Karumba,"Karumba, Australia"
3457,Australia,Katanning,"Katanning, Australia"
3458,Australia,Katherine,"Katherine, Australia"
3459,Australia,Katoomba,"Katoomba, Australia"
3460,Australia,Kawana,"Kawana, Australia"
3461,Australia,Kayena,"Kayena, Australia"
3462,Australia,Kedron,"Kedron, Australia"
3463,Australia,Keilor,"Keilor, Australia"
3464,Australia,Keilor Park,"Keilor Park, Australia"
3465,Australia,Keith,"Keith, Australia"
3466,Australia,Kellerberrin,"Kellerberrin, Australia"
3467,Australia,Kelmscot,"Kelmscot, Australia"
3468,Australia,Kelso,"Kelso, Australia"
3469,Australia,Kembla,"Kembla, Australia"
3470,Australia,Kemblawarra,"Kemblawarra, Australia"
3471,Australia,Kempsey,"Kempsey, Australia"
3472,Australia,Kendall,"Kendall, Australia"
3473,Australia,Kendenup,"Kendenup, Australia"
3474,Australia,Kenmore,"Kenmore, Australia"
3475,Australia,Kensington,"Kensington, Australia"
3476,Australia,Kensington,"Kensington, Australia"
3477,Australia,Kensington Gardens,"Kensington Gardens, Australia"
3478,Australia,Kent Town,"Kent Town, Australia"
3479,Australia,Kenthurst,"Kenthurst, Australia"
3480,Australia,Keon Park,"Keon Park, Australia"
3481,Australia,Keppoch,"Keppoch, Australia"
3482,Australia,Kerang,"Kerang, Australia"
3483,Australia,Kersbrook,"Kersbrook, Australia"
3484,Australia,Kew,"Kew, Australia"
3485,Australia,Kewarra Beach,"Kewarra Beach, Australia"
3486,Australia,Kewdale,"Kewdale, Australia"
3487,Australia,Kewell,"Kewell, Australia"
3488,Australia,Keyneton,"Keyneton, Australia"
3489,Australia,Keysborough,"Keysborough, Australia"
3490,Australia,Kidman Park,"Kidman Park, Australia"
3491,Australia,Kilburn,"Kilburn, Australia"
3492,Australia,Kilcoy,"Kilcoy, Australia"
3493,Australia,Killara,"Killara, Australia"
3494,Australia,Killarney Vale,"Killarney Vale, Australia"
3495,Australia,Kilmore,"Kilmore, Australia"
3496,Australia,Kilsyth,"Kilsyth, Australia"
3497,Australia,Kimberley Downs,"Kimberley Downs, Australia"
3498,Australia,King Bay,"King Bay, Australia"
3499,Australia,King Is,"King Is, Australia"
3500,Australia,Kingaroy,"Kingaroy, Australia"
3501,Australia,Kinglake,"Kinglake, Australia"
3502,Australia,Kingower,"Kingower, Australia"
3503,Australia,Kings Canyon,"Kings Canyon, Australia"
3504,Australia,Kings Creek Station,"Kings Creek Station, Australia"
3505,Australia,Kings Park,"Kings Park, Australia"
3506,Australia,Kings Park,"Kings Park, Australia"
3507,Australia,Kings Park,"Kings Park, Australia"
3508,Australia,Kingscote,"Kingscote, Australia"
3509,Australia,Kingsford,"Kingsford, Australia"
3510,Australia,Kingsgrove,"Kingsgrove, Australia"
3511,Australia,Kingsthorpe,"Kingsthorpe, Australia"
3512,Australia,Kingston,"Kingston, Australia"
3513,Australia,Kingston,"Kingston, Australia"
3514,Australia,Kingstown,"Kingstown, Australia"
3515,Australia,Kingswood,"Kingswood, Australia"
3516,Australia,Kirkimbie,"Kirkimbie, Australia"
3517,Australia,Kirrawee,"Kirrawee, Australia"
3518,Australia,Kitan FPSO,"Kitan FPSO, Australia"
3519,Australia,Klein Point,"Klein Point, Australia"
3520,Australia,Klemzig,"Klemzig, Australia"
3521,Australia,Knockrow,"Knockrow, Australia"
3522,Australia,Knowsley,"Knowsley, Australia"
3523,Australia,Knoxfield,"Knoxfield, Australia"
3524,Australia,Kogarah,"Kogarah, Australia"
3525,Australia,Kongwak,"Kongwak, Australia"
3526,Australia,Koolan Island,"Koolan Island, Australia"
3527,Australia,Koolatah,"Koolatah, Australia"
3528,Australia,Koolburra,"Koolburra, Australia"
3529,Australia,Koolyanbobbing,"Koolyanbobbing, Australia"
3530,Australia,Koonibba,"Koonibba, Australia"
3531,Australia,Koonoomoo,"Koonoomoo, Australia"
3532,Australia,Koorawatha,"Koorawatha, Australia"
3533,Australia,Koo-Wee-Rup,"Koo-Wee-Rup, Australia"
3534,Australia,Korumburra,"Korumburra, Australia"
3535,Australia,Korunye,"Korunye, Australia"
3536,Australia,Kotara,"Kotara, Australia"
3537,Australia,Kowanyama,"Kowanyama, Australia"
3538,Australia,Kubin Island,"Kubin Island, Australia"
3539,Australia,Kulgera,"Kulgera, Australia"
3540,Australia,Kulnura,"Kulnura, Australia"
3541,Australia,Kunda Park,"Kunda Park, Australia"
3542,Australia,Kundabung,"Kundabung, Australia"
3543,Australia,Kungala,"Kungala, Australia"
3544,Australia,Kununurra,"Kununurra, Australia"
3545,Australia,Kurnell,"Kurnell, Australia"
3546,Australia,Kurraba Point,"Kurraba Point, Australia"
3547,Australia,Kurri Kurri,"Kurri Kurri, Australia"
3548,Australia,Kurundi,"Kurundi, Australia"
3549,Australia,Kwinana,"Kwinana, Australia"
3550,Australia,Kyabram,"Kyabram, Australia"
3551,Australia,Kyeemagh,"Kyeemagh, Australia"
3552,Australia,Kyneton,"Kyneton, Australia"
3553,Australia,La Perouse,"La Perouse, Australia"
3554,Australia,Laanecoorie,"Laanecoorie, Australia"
3555,Australia,Labrador,"Labrador, Australia"
3556,Australia,Lady Barron,"Lady Barron, Australia"
3557,Australia,Lady Elliot Island,"Lady Elliot Island, Australia"
3558,Australia,Lake Boga,"Lake Boga, Australia"
3559,Australia,Lake Cargelligo,"Lake Cargelligo, Australia"
3560,Australia,Lake Evella,"Lake Evella, Australia"
3561,Australia,Lake Macquarie,"Lake Macquarie, Australia"
3562,Australia,Lake Nash,"Lake Nash, Australia"
3563,Australia,Lakefield,"Lakefield, Australia"
3564,Australia,Lakeland Downs,"Lakeland Downs, Australia"
3565,Australia,Lakemba,"Lakemba, Australia"
3566,Australia,Lakes Entrance,"Lakes Entrance, Australia"
3567,Australia,Lalla,"Lalla, Australia"
3568,Australia,Lamplough,"Lamplough, Australia"
3569,Australia,Lane Cove,"Lane Cove, Australia"
3570,Australia,Langarra,"Langarra, Australia"
3571,Australia,Langhorne Creek,"Langhorne Creek, Australia"
3572,Australia,Langwarrin,"Langwarrin, Australia"
3573,Australia,Lansdowne,"Lansdowne, Australia"
3574,Australia,Lansdowne,"Lansdowne, Australia"
3575,Australia,Lansvale,"Lansvale, Australia"
3576,Australia,Lara,"Lara, Australia"
3577,Australia,Larapinta,"Larapinta, Australia"
3578,Australia,Largs Bay,"Largs Bay, Australia"
3579,Australia,Largs North,"Largs North, Australia"
3580,Australia,Latrobe,"Latrobe, Australia"
3581,Australia,Launceston,"Launceston, Australia"
3582,Australia,Launching Place,"Launching Place, Australia"
3583,Australia,Laura,"Laura, Australia"
3584,Australia,Laura Station,"Laura Station, Australia"
3585,Australia,Laurel Hill,"Laurel Hill, Australia"
3586,Australia,Laurieton,"Laurieton, Australia"
3587,Australia,Laverton,"Laverton, Australia"
3588,Australia,Laverton,"Laverton, Australia"
3589,Australia,Laverton North,"Laverton North, Australia"
3590,Australia,Lavington,"Lavington, Australia"
3591,Australia,Lawn Hill,"Lawn Hill, Australia"
3592,Australia,Lawnton,"Lawnton, Australia"
3593,Australia,Lawson,"Lawson, Australia"
3594,Australia,Learmonth,"Learmonth, Australia"
3595,Australia,Leasingham,"Leasingham, Australia"
3596,Australia,Lebrina,"Lebrina, Australia"
3597,Australia,Leeton,"Leeton, Australia"
3598,Australia,Legana,"Legana, Australia"
3599,Australia,Legendre Terminal,"Legendre Terminal, Australia"
3600,Australia,Leichardt,"Leichardt, Australia"
3601,Australia,Leichhardt,"Leichhardt, Australia"
3602,Australia,Leigh Creek,"Leigh Creek, Australia"
3603,Australia,Leinster,"Leinster, Australia"
3604,Australia,Lenswood,"Lenswood, Australia"
3605,Australia,Leongatha,"Leongatha, Australia"
3606,Australia,Leongatha South,"Leongatha South, Australia"
3607,Australia,Leonora,"Leonora, Australia"
3608,Australia,Lethbridge,"Lethbridge, Australia"
3609,Australia,Leumeah,"Leumeah, Australia"
3610,Australia,Lidcombe,"Lidcombe, Australia"
3611,Australia,Light Pass,"Light Pass, Australia"
3612,Australia,Lightning Ridge,"Lightning Ridge, Australia"
3613,Australia,Lilli Pilli,"Lilli Pilli, Australia"
3614,Australia,Lilydale,"Lilydale, Australia"
3615,Australia,Lilydale,"Lilydale, Australia"
3616,Australia,Lilyfield,"Lilyfield, Australia"
3617,Australia,Limbunya,"Limbunya, Australia"
3618,Australia,Linda Downs,"Linda Downs, Australia"
3619,Australia,Lindeman Island,"Lindeman Island, Australia"
3620,Australia,Lindfield,"Lindfield, Australia"
3621,Australia,Lindisfarne,"Lindisfarne, Australia"
3622,Australia,Lisarow,"Lisarow, Australia"
3623,Australia,Lismore,"Lismore, Australia"
3624,Australia,Lissadell,"Lissadell, Australia"
3625,Australia,Lithgow,"Lithgow, Australia"
3626,Australia,Little River,"Little River, Australia"
3627,Australia,Littlehampton,"Littlehampton, Australia"
3628,Australia,Liverpool,"Liverpool, Australia"
3629,Australia,Lizard Island,"Lizard Island, Australia"
3630,Australia,Lobethal,"Lobethal, Australia"
3631,Australia,Lock,"Lock, Australia"
3632,Australia,Lockhart,"Lockhart, Australia"
3633,Australia,Lockhart River,"Lockhart River, Australia"
3634,Australia,Lockwood,"Lockwood, Australia"
3635,Australia,Loftus,"Loftus, Australia"
3636,Australia,Loganholme,"Loganholme, Australia"
3637,Australia,Loganlea,"Loganlea, Australia"
3638,Australia,Long Island,"Long Island, Australia"
3639,Australia,Long Jetty,"Long Jetty, Australia"
3640,Australia,Long Point,"Long Point, Australia"
3641,Australia,Longford,"Longford, Australia"
3642,Australia,Longreach,"Longreach, Australia"
3643,Australia,Longueville,"Longueville, Australia"
3644,Australia,Longwood,"Longwood, Australia"
3645,Australia,Longwood,"Longwood, Australia"
3646,Australia,Lonsdale,"Lonsdale, Australia"
3647,Australia,Lord Howe Is,"Lord Howe Is, Australia"
3648,Australia,Lorraine,"Lorraine, Australia"
3649,Australia,Lotusvale,"Lotusvale, Australia"
3650,Australia,Loveday,"Loveday, Australia"
3651,Australia,Lower Plenty,"Lower Plenty, Australia"
3652,Australia,Lower Portland,"Lower Portland, Australia"
3653,Australia,Lowood,"Lowood, Australia"
3654,Australia,Loxton,"Loxton, Australia"
3655,Australia,Lucas Heights,"Lucas Heights, Australia"
3656,Australia,Lucinda,"Lucinda, Australia"
3657,Australia,Lucky Bay,"Lucky Bay, Australia"
3658,Australia,Luddenham,"Luddenham, Australia"
3659,Australia,Lugarno,"Lugarno, Australia"
3660,Australia,Lurnea/Sydney,"Lurnea/Sydney, Australia"
3661,Australia,Luskintyre,"Luskintyre, Australia"
3662,Australia,Lutana,"Lutana, Australia"
3663,Australia,Lyndhurst,"Lyndhurst, Australia"
3664,Australia,Lyndhurst,"Lyndhurst, Australia"
3665,Australia,Lyndoch,"Lyndoch, Australia"
3666,Australia,Lyneham,"Lyneham, Australia"
3667,Australia,Lysterfield,"Lysterfield, Australia"
3668,Australia,Lytton,"Lytton, Australia"
3669,Australia,Mabuiag Island,"Mabuiag Island, Australia"
3670,Australia,Macclesfield,"Macclesfield, Australia"
3671,Australia,Macdonald Downs,"Macdonald Downs, Australia"
3672,Australia,Macedon,"Macedon, Australia"
3673,Australia,Macgregor,"Macgregor, Australia"
3674,Australia,Mackay,"Mackay, Australia"
3675,Australia,Macksville,"Macksville, Australia"
3676,Australia,Macmahon Camp 4,"Macmahon Camp 4, Australia"
3677,Australia,Macmasters Beach,"Macmasters Beach, Australia"
3678,Australia,Macquarie Island,"Macquarie Island, Australia"
3679,Australia,Macquarie Park,"Macquarie Park, Australia"
3680,Australia,Maddington,"Maddington, Australia"
3681,Australia,Maffra,"Maffra, Australia"
3682,Australia,Maianbar,"Maianbar, Australia"
3683,Australia,Maidstone,"Maidstone, Australia"
3684,Australia,Main Ridge,"Main Ridge, Australia"
3685,Australia,Mainoru,"Mainoru, Australia"
3686,Australia,Maitland,"Maitland, Australia"
3687,Australia,Majura,"Majura, Australia"
3688,Australia,Malaga,"Malaga, Australia"
3689,Australia,Maleny,"Maleny, Australia"
3690,Australia,Mallacoota,"Mallacoota, Australia"
3691,Australia,Malmsbury,"Malmsbury, Australia"
3692,Australia,Malua Bay,"Malua Bay, Australia"
3693,Australia,Malvern,"Malvern, Australia"
3694,Australia,Malvern,"Malvern, Australia"
3695,Australia,Mandogalup,"Mandogalup, Australia"
3696,Australia,Mandora,"Mandora, Australia"
3697,Australia,Mandurah,"Mandurah, Australia"
3698,Australia,Mango Hill,"Mango Hill, Australia"
3699,Australia,Manildra,"Manildra, Australia"
3700,Australia,Manilla,"Manilla, Australia"
3701,Australia,Maningrida,"Maningrida, Australia"
3702,Australia,Manjimup,"Manjimup, Australia"
3703,Australia,Manly,"Manly, Australia"
3704,Australia,Manners Creek,"Manners Creek, Australia"
3705,Australia,Mansfield,"Mansfield, Australia"
3706,Australia,Marananga,"Marananga, Australia"
3707,Australia,Marayong,"Marayong, Australia"
3708,Australia,Marble Bar,"Marble Bar, Australia"
3709,Australia,Marburg,"Marburg, Australia"
3710,Australia,Mareeba,"Mareeba, Australia"
3711,Australia,Margaret River,"Margaret River, Australia"
3712,Australia,Margaret River Station,"Margaret River Station, Australia"
3713,Australia,Maribyrnong,"Maribyrnong, Australia"
3714,Australia,Marion Downs,"Marion Downs, Australia"
3715,Australia,Marla,"Marla, Australia"
3716,Australia,Marong,"Marong, Australia"
3717,Australia,Maroochydore Apt/Sunshine Coast,"Maroochydore Apt/Sunshine Coast, Australia"
3718,Australia,Maroota,"Maroota, Australia"
3719,Australia,Maroubra,"Maroubra, Australia"
3720,Australia,Marqua,"Marqua, Australia"
3721,Australia,Marrar,"Marrar, Australia"
3722,Australia,Marrara,"Marrara, Australia"
3723,Australia,Marree,"Marree, Australia"
3724,Australia,Marrickville,"Marrickville, Australia"
3725,Australia,Marsden Park,"Marsden Park, Australia"
3726,Australia,Marsfield,"Marsfield, Australia"
3727,Australia,Marulan,"Marulan, Australia"
3728,Australia,Maryborough,"Maryborough, Australia"
3729,Australia,Maryborough,"Maryborough, Australia"
3730,Australia,Marybrook,"Marybrook, Australia"
3731,Australia,Maryknoll,"Maryknoll, Australia"
3732,Australia,Maryland,"Maryland, Australia"
3733,Australia,Maryvale,"Maryvale, Australia"
3734,Australia,Maryvale,"Maryvale, Australia"
3735,Australia,Mascot,"Mascot, Australia"
3736,Australia,Matcham,"Matcham, Australia"
3737,Australia,Mathoura,"Mathoura, Australia"
3738,Australia,Matong,"Matong, Australia"
3739,Australia,Matraville,"Matraville, Australia"
3740,Australia,Mawson Lakes,"Mawson Lakes, Australia"
3741,Australia,Mayfield,"Mayfield, Australia"
3742,Australia,Mayfield,"Mayfield, Australia"
3743,Australia,Maylands,"Maylands, Australia"
3744,Australia,Maylands,"Maylands, Australia"
3745,Australia,Mcarthur River,"Mcarthur River, Australia"
3746,Australia,Mccrae,"Mccrae, Australia"
3747,Australia,McGraths Hill,"McGraths Hill, Australia"
3748,Australia,Mclaren Flat,"Mclaren Flat, Australia"
3749,Australia,McLaren Vale,"McLaren Vale, Australia"
3750,Australia,Mcleans Ridges,"Mcleans Ridges, Australia"
3751,Australia,Mcmahons Point,"Mcmahons Point, Australia"
3752,Australia,Meadowbrook,"Meadowbrook, Australia"
3753,Australia,Meadows,"Meadows, Australia"
3754,Australia,Meekatharra,"Meekatharra, Australia"
3755,Australia,Melbourne,"Melbourne, Australia"
3756,Australia,Melbourne City Heliport,"Melbourne City Heliport, Australia"
3757,Australia,Melrose,"Melrose, Australia"
3758,Australia,Melrose Park,"Melrose Park, Australia"
3759,Australia,Melton,"Melton, Australia"
3760,Australia,Melville,"Melville, Australia"
3761,Australia,Melville Island,"Melville Island, Australia"
3762,Australia,Menai,"Menai, Australia"
3763,Australia,Mentone,"Mentone, Australia"
3764,Australia,Menzies Creek,"Menzies Creek, Australia"
3765,Australia,Merbein,"Merbein, Australia"
3766,Australia,Meredith,"Meredith, Australia"
3767,Australia,Merewether,"Merewether, Australia"
3768,Australia,Merimbula,"Merimbula, Australia"
3769,Australia,Merinda,"Merinda, Australia"
3770,Australia,Merluna,"Merluna, Australia"
3771,Australia,Mernda,"Mernda, Australia"
3772,Australia,Merredin,"Merredin, Australia"
3773,Australia,Merricks North,"Merricks North, Australia"
3774,Australia,Merrylands,"Merrylands, Australia"
3775,Australia,Merty,"Merty, Australia"
3776,Australia,Meru,"Meru, Australia"
3777,Australia,Metricup,"Metricup, Australia"
3778,Australia,Miami,"Miami, Australia"
3779,Australia,Michelago,"Michelago, Australia"
3780,Australia,Mickleham,"Mickleham, Australia"
3781,Australia,Middle Swan,"Middle Swan, Australia"
3782,Australia,Middlemount,"Middlemount, Australia"
3783,Australia,Middleton,"Middleton, Australia"
3784,Australia,Midland,"Midland, Australia"
3785,Australia,Midvale,"Midvale, Australia"
3786,Australia,Milawa,"Milawa, Australia"
3787,Australia,Milbrodale,"Milbrodale, Australia"
3788,Australia,Mildura,"Mildura, Australia"
3789,Australia,Mile End,"Mile End, Australia"
3790,Australia,Milingimbi,"Milingimbi, Australia"
3791,Australia,Mill Park,"Mill Park, Australia"
3792,Australia,Millendon,"Millendon, Australia"
3793,Australia,Millicent,"Millicent, Australia"
3794,Australia,Millmerran,"Millmerran, Australia"
3795,Australia,Milner Bay,"Milner Bay, Australia"
3796,Australia,Milperra,"Milperra, Australia"
3797,Australia,Milsons Point,"Milsons Point, Australia"
3798,Australia,Minchinbury,"Minchinbury, Australia"
3799,Australia,Mindarie,"Mindarie, Australia"
3800,Australia,Miners Lake,"Miners Lake, Australia"
3801,Australia,Minlaton,"Minlaton, Australia"
3802,Australia,Minnipa,"Minnipa, Australia"
3803,Australia,Mintaro,"Mintaro, Australia"
3804,Australia,Minto,"Minto, Australia"
3805,Australia,Minyama,"Minyama, Australia"
3806,Australia,Miranda,"Miranda, Australia"
3807,Australia,Miranda Downs,"Miranda Downs, Australia"
3808,Australia,Mitcham,"Mitcham, Australia"
3809,Australia,Mitchell,"Mitchell, Australia"
3810,Australia,Mitchell Park,"Mitchell Park, Australia"
3811,Australia,Mitchell Park,"Mitchell Park, Australia"
3812,Australia,Mitchell Plateau,"Mitchell Plateau, Australia"
3813,Australia,Mitchell River,"Mitchell River, Australia"
3814,Australia,Mitchell/Canberra,"Mitchell/Canberra, Australia"
3815,Australia,Mittagong,"Mittagong, Australia"
3816,Australia,Mittiebah,"Mittiebah, Australia"
3817,Australia,Moama,"Moama, Australia"
3818,Australia,Moana,"Moana, Australia"
3819,Australia,Moculta,"Moculta, Australia"
3820,Australia,Modbury,"Modbury, Australia"
3821,Australia,Modec Venture 11,"Modec Venture 11, Australia"
3822,Australia,Moe,"Moe, Australia"
3823,Australia,Molendinar,"Molendinar, Australia"
3824,Australia,Molong,"Molong, Australia"
3825,Australia,Mona Vale,"Mona Vale, Australia"
3826,Australia,Monarto South,"Monarto South, Australia"
3827,Australia,Monash,"Monash, Australia"
3828,Australia,Monbulk,"Monbulk, Australia"
3829,Australia,Monkey Mia,"Monkey Mia, Australia"
3830,Australia,Monkira,"Monkira, Australia"
3831,Australia,Mont Albert North,"Mont Albert North, Australia"
3832,Australia,Montara Field,"Montara Field, Australia"
3833,Australia,Montmorency,"Montmorency, Australia"
3834,Australia,Monto,"Monto, Australia"
3835,Australia,Montrose,"Montrose, Australia"
3836,Australia,Moolap,"Moolap, Australia"
3837,Australia,Moolawatana,"Moolawatana, Australia"
3838,Australia,Mooloolaba,"Mooloolaba, Australia"
3839,Australia,Moomba,"Moomba, Australia"
3840,Australia,Moonah,"Moonah, Australia"
3841,Australia,Moonambel,"Moonambel, Australia"
3842,Australia,Moonee Ponds,"Moonee Ponds, Australia"
3843,Australia,Mooney Mooney,"Mooney Mooney, Australia"
3844,Australia,Moora,"Moora, Australia"
3845,Australia,Moorabbin,"Moorabbin, Australia"
3846,Australia,Mooraberree,"Mooraberree, Australia"
3847,Australia,Moorabool,"Moorabool, Australia"
3848,Australia,Moore Park,"Moore Park, Australia"
3849,Australia,Moorebank/Sydney,"Moorebank/Sydney, Australia"
3850,Australia,Moorooduc,"Moorooduc, Australia"
3851,Australia,Moorook,"Moorook, Australia"
3852,Australia,Mooroolbark,"Mooroolbark, Australia"
3853,Australia,Mooroopna,"Mooroopna, Australia"
3854,Australia,Moranbah,"Moranbah, Australia"
3855,Australia,Morawa,"Morawa, Australia"
3856,Australia,Morayfield,"Morayfield, Australia"
3857,Australia,Mordialloc,"Mordialloc, Australia"
3858,Australia,Moree,"Moree, Australia"
3859,Australia,Moreton,"Moreton, Australia"
3860,Australia,Morgan,"Morgan, Australia"
3861,Australia,Morley,"Morley, Australia"
3862,Australia,Morney,"Morney, Australia"
3863,Australia,Morningside,"Morningside, Australia"
3864,Australia,Mornington,"Mornington, Australia"
3865,Australia,Mornington,"Mornington, Australia"
3866,Australia,Moroak,"Moroak, Australia"
3867,Australia,Morpeth,"Morpeth, Australia"
3868,Australia,Morphett Vale,"Morphett Vale, Australia"
3869,Australia,Mortdale,"Mortdale, Australia"
3870,Australia,Moruya,"Moruya, Australia"
3871,Australia,Morwell,"Morwell, Australia"
3872,Australia,Mosman,"Mosman, Australia"
3873,Australia,Mosman Park,"Mosman Park, Australia"
3874,Australia,Moss Vale,"Moss Vale, Australia"
3875,Australia,Mount Barker,"Mount Barker, Australia"
3876,Australia,Mount Barnett,"Mount Barnett, Australia"
3877,Australia,Mount Benson,"Mount Benson, Australia"
3878,Australia,Mount Buffalo,"Mount Buffalo, Australia"
3879,Australia,Mount Camel,"Mount Camel, Australia"
3880,Australia,Mount Cavenagh,"Mount Cavenagh, Australia"
3881,Australia,Mount Colah,"Mount Colah, Australia"
3882,Australia,Mount Compass,"Mount Compass, Australia"
3883,Australia,Mount Cotton,"Mount Cotton, Australia"
3884,Australia,Mount Dandenong,"Mount Dandenong, Australia"
3885,Australia,Mount Druitt,"Mount Druitt, Australia"
3886,Australia,Mount Eliza,"Mount Eliza, Australia"
3887,Australia,Mount Full Stop,"Mount Full Stop, Australia"
3888,Australia,Mount Gambier,"Mount Gambier, Australia"
3889,Australia,Mount Gravatt,"Mount Gravatt, Australia"
3890,Australia,Mount Gunson,"Mount Gunson, Australia"
3891,Australia,Mount Hawthorn,"Mount Hawthorn, Australia"
3892,Australia,Mount Hotham,"Mount Hotham, Australia"
3893,Australia,Mount House,"Mount House, Australia"
3894,Australia,Mount Isa,"Mount Isa, Australia"
3895,Australia,Mount Keith,"Mount Keith, Australia"
3896,Australia,Mount Kuring-Gai,"Mount Kuring-Gai, Australia"
3897,Australia,Mount Lawley,"Mount Lawley, Australia"
3898,Australia,Mount Louisa,"Mount Louisa, Australia"
3899,Australia,Mount Macedon,"Mount Macedon, Australia"
3900,Australia,Mount Magnet,"Mount Magnet, Australia"
3901,Australia,Mount Martha,"Mount Martha, Australia"
3902,Australia,Mount Nathan,"Mount Nathan, Australia"
3903,Australia,Mount Pleasant,"Mount Pleasant, Australia"
3904,Australia,Mount Pleasant,"Mount Pleasant, Australia"
3905,Australia,Mount Saint John,"Mount Saint John, Australia"
3906,Australia,Mount Sandford,"Mount Sandford, Australia"
3907,Australia,Mount Swan,"Mount Swan, Australia"
3908,Australia,Mount Torrens,"Mount Torrens, Australia"
3909,Australia,Mount Waverly,"Mount Waverly, Australia"
3910,Australia,Mount White,"Mount White, Australia"
3911,Australia,Mountain Valley,"Mountain Valley, Australia"
3912,Australia,Mountbarker,"Mountbarker, Australia"
3913,Australia,Moura,"Moura, Australia"
3914,Australia,Mourilyan,"Mourilyan, Australia"
3915,Australia,Mowbray Heights,"Mowbray Heights, Australia"
3916,Australia,Moyhu,"Moyhu, Australia"
3917,Australia,Muccan,"Muccan, Australia"
3918,Australia,Muchea,"Muchea, Australia"
